dhlabid,title,year,city
203433332,tvedestrandogomegnsavis,1910,
203168033,nordrebergenhusfolkeblad,1910,Kinn
202944779,aftenposten,1910,Oslo
201194333,nordlandsposten,1910,Bodø
201477464,romsdalsbudstikke,1910,Molde
201452089,romerikesblad,1910,Lillestrøm
200831094,indresmaalenenesavis,1910,Indre Østfold
202944494,aftenposten,1910,Oslo
200311016,dagbladet,1910,Oslo
200642929,gjengangeren,1910,Horten
200562569,flekkefjordsposten,1910,
202541143,mossavis,1910,Moss
203303054,buskerudsamtstidendedrammen,1910,
201975084,akershuspostenlillestroemnitten,1910,Lørenskog
204151359,fjordenestidende,1910,
200455055,faedrelandsvennen,1910,Kristiansand
200217313,bergenstidende,1910,Bergen
200027796,agder,1910,
202495476,lindesnes,1910,Mandal
200310955,dagbladet,1910,Oslo
203430388,tunsbergeren,1910,
202541071,mossavis,1910,Moss
203430348,tunsbergeren,1910,
202621744,norskkundgjoerelsestidende,1910,Oslo
203167962,nordrebergenhusfolkeblad,1910,Kinn
202410594,hordalandfolkeblad,1910,Kvam
203358818,oevresmaalenene,1910,Indre Østfold
203402150,soendhordland,1910,
201797953,trondhjemsadresseavis,1910,Trondheim
201950727,agderposten,1910,Arendal
200866278,kongsbergdagblad,1910,Kongsberg
203198823,stavangeraftenblad,1910,Stavanger
200562550,flekkefjordsposten,1910,
203167972,nordrebergenhusfolkeblad,1910,Kinn
201797872,trondhjemsadresseavis,1910,Trondheim
202944381,aftenposten,1910,Oslo
203386800,sarpen,1910,
201109408,mosstilskuer,1910,Moss
202040835,bergensannoncetidende,1910,
201992937,arbeidet,1910,Bergen
203455698,vestfoldsandefjordatten,1910,
200831081,indresmaalenenesavis,1910,Indre Østfold
204293449,vestoplaendingen,1910,
202452059,jarlsbergoglarviksamtstidende,1910,Larvik
200623885,fremtiden,1910,Drammen
201276369,norgessjoefartstidende,1910,Oslo
203396235,skotfosavisnittennullen,1910,
202040945,bergensannoncetidende,1910,
202222865,folketidendetrondheimattennittien,1910,Trondheim
202495453,lindesnes,1910,Mandal
202536019,mossaftenblad,1910,
200694132,gudbrandsdoelen,1910,Lillehammer
200831122,indresmaalenenesavis,1910,Indre Østfold
202483374,langesundsposten,1910,
203455786,vestfoldsandefjordatten,1910,
202483344,langesundsposten,1910,
201309820,oeieren,1910,
200454911,faedrelandsvennen,1910,Kristiansand
202023503,bergensaftenbladbergenattenattini,1910,Bergen
201975026,akershuspostenlillestroemnitten,1910,Lørenskog
203303089,buskerudsamtstidendedrammen,1910,
203433330,tvedestrandogomegnsavis,1910,
202786891,skandinaven,1910,
202040918,bergensannoncetidende,1910,
203302949,buskerudsamtstidendedrammen,1910,
201556808,socialdemokraten,1910,Oslo
202424226,indlandsposten,1910,
202589622,nordlendingen,1910,
200667796,glommendalen,1910,Kongsvinger
202944295,aftenposten,1910,Oslo
204293480,vestoplaendingen,1910,
201345593,osterdolen,1910,Tynset
200831073,indresmaalenenesavis,1910,Indre Østfold
204457375,unglyden ,1910,Voss
201152891,nedenaesamtstidende,1910,Risør
202040728,bergensannoncetidende,1910,
200602343,fremover,1910,Narvik
201967751,akershus,1910,Lillestrøm
201594583,sognstidend,1910,Sogndal
200642896,gjengangeren,1910,Horten
203433329,tvedestrandogomegnsavis,1910,
201035388,morgenbladet,1910,Oslo
203020037,askerogbaerumsbudstikke,1910,Bærum
201276504,norgessjoefartstidende,1910,Oslo
202579960,nordlandsfolkeblad,1910,
200217451,bergenstidende,1910,Bergen
200455167,faedrelandsvennen,1910,Kristiansand
200752848,harstadtidende,1910,Harstad
203455626,vestfoldsandefjordatten,1910,
203125134,indtrondelagen,1910,
202479150,landmandsposten,1910,
202944434,aftenposten,1910,Oslo
202944716,aftenposten,1910,Oslo
203977953,oerebladet,1910,
201629217,stjordalensblad,1910,Stjørdal
201217602,nordlys,1910,Tromsø
201505842,sandefjordsblad,1910,Sandefjord
201170446,nordkapp,1910,
201798020,trondhjemsadresseavis,1910,Trondheim
204241475,gudbrandsdalensfolkebladgjoevik,1910,
202495490,lindesnes,1910,Mandal
202944290,aftenposten,1910,Oslo
202756647,romsdalstidende,1910,
202302461,grimstadposten,1910,
203591933,narviktidende,1910,
200217401,bergenstidende,1910,Bergen
203396269,skotfosavisnittennullen,1910,
201345531,osterdolen,1910,Tynset
202452104,jarlsbergoglarviksamtstidende,1910,Larvik
204241601,gudbrandsdalensfolkebladgjoevik,1910,
203198945,stavangeraftenblad,1910,Stavanger
200436756,dunderlandsdoelen,1910,Rana
201109467,mosstilskuer,1910,Moss
203386897,sarpen,1910,
202059890,breviksposten,1910,Porsgrunn
201035511,morgenbladet,1910,Oslo
201573022,sogningen,1910,Sogndal
202621960,norskkundgjoerelsestidende,1910,Oslo
202505750,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
202642231,oplandenesavis,1910,Hamar
201629277,stjordalensblad,1910,Stjørdal
203185190,ranenstidende,1910,Hemnes
204734588,Laagendalsposten ,1910,Kongsberg
203433315,tvedestrandogomegnsavis,1910,
202424349,indlandsposten,1910,
202500368,listerfarsundatten,1910,
202222906,folketidendetrondheimattennittien,1910,Trondheim
200562494,flekkefjordsposten,1910,
202012883,baerumogaskersblad,1910,
202756613,romsdalstidende,1910,
200602339,fremover,1910,Narvik
200564462,foerstemai,1910,Stavanger
202479221,landmandsposten,1910,
203358778,oevresmaalenene,1910,Indre Østfold
203430414,tunsbergeren,1910,
202057335,breidablik,1910,
203686871,aftenpostenukensnytt,1910,
204668599,Hamar Stiftstidende ,1910,Hamar
203433369,tvedestrandogomegnsavis,1910,
200886030,kysten,1910,Oslo
202579987,nordlandsfolkeblad,1910,
202944877,aftenposten,1910,Oslo
204608879,Samhold (Gjøvik: 1885-1920) ,1910,Gjøvik
201276539,norgessjoefartstidende,1910,Oslo
200866350,kongsbergdagblad,1910,Kongsberg
202040967,bergensannoncetidende,1910,
201974993,akershuspostenlillestroemnitten,1910,Lørenskog
201276464,norgessjoefartstidende,1910,Oslo
203386872,sarpen,1910,
200811176,helgelandsblad,1910,
204318982,gjoviksbladattenattifire,1910,
203956835,oerebladet,1910,
200790940,hedemarkensamtstidende,1910,Hamar
203455582,vestfoldsandefjordatten,1910,
201797971,trondhjemsadresseavis,1910,Trondheim
202505795,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
203402143,soendhordland,1910,
200564584,foerstemai,1910,Stavanger
200310828,dagbladet,1910,Oslo
201452114,romerikesblad,1910,Lillestrøm
201035394,morgenbladet,1910,Oslo
200866357,kongsbergdagblad,1910,Kongsberg
204453120,Hamar Stiftstidende ,1910,Hamar
201276399,norgessjoefartstidende,1910,Oslo
201817058,tvedestrandsposten,1910,Tvedestrand
200866340,kongsbergdagblad,1910,Kongsberg
200866294,kongsbergdagblad,1910,Kongsberg
202944821,aftenposten,1910,Oslo
200790898,hedemarkensamtstidende,1910,Hamar
203455805,vestfoldsandefjordatten,1910,
202059944,breviksposten,1910,Porsgrunn
202944843,aftenposten,1910,Oslo
200358200,dagensnytt,1910,
202609770,nordtroenderen,1910,
200253846,bratsbergdemokraten,1910,Skien
200831065,indresmaalenenesavis,1910,Indre Østfold
203199015,stavangeraftenblad,1910,Stavanger
203779753,helgeland,1910,
204521625,Hamar Stiftstidende ,1910,Hamar
201775794,tromsoeposten,1910,Tromsø
200667795,glommendalen,1910,Kongsvinger
200217512,bergenstidende,1910,Bergen
202040948,bergensannoncetidende,1910,
202023480,bergensaftenbladbergenattenattini,1910,Bergen
201506025,sandefjordsblad,1910,Sandefjord
201992871,arbeidet,1910,Bergen
202556362,namdalensfolkeblad,1910,
200455062,faedrelandsvennen,1910,Kristiansand
202505707,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
201276367,norgessjoefartstidende,1910,Oslo
203615307,buskerudsblad,1910,
203020061,askerogbaerumsbudstikke,1910,Bærum
202479196,landmandsposten,1910,
200676361,grimstadadressetiden,1910,Grimstad
202541096,mossavis,1910,Moss
202059940,breviksposten,1910,Porsgrunn
200601637,fredriksstadtilskuer,1910,Fredrikstad
202944285,aftenposten,1910,Oslo
201556796,socialdemokraten,1910,Oslo
200562534,flekkefjordsposten,1910,
200866216,kongsbergdagblad,1910,Kongsberg
203165847,nordrebergenhusamtstidende,1910,Kinn
203358808,oevresmaalenene,1910,Indre Østfold
202642249,oplandenesavis,1910,Hamar
201276525,norgessjoefartstidende,1910,Oslo
202568283,nordfjord,1910,
201817134,tvedestrandsposten,1910,Tvedestrand
203153770,nordenfjeldsktidende,1910,Levanger
200027869,agder,1910,
202239807,fredrikshaldsavis,1910,
202585476,nordlandsposten,1910,Bodø
200311025,dagbladet,1910,Oslo
202059909,breviksposten,1910,Porsgrunn
202541153,mossavis,1910,Moss
202944195,aftenposten,1910,Oslo
202944897,aftenposten,1910,Oslo
200642990,gjengangeren,1910,Horten
202522308,more,1910,Volda
203972046,oerebladet,1910,
200866114,kongsbergdagblad,1910,Kongsberg
202302430,grimstadposten,1910,
203117116,indheredsposten,1910,
202944321,aftenposten,1910,Oslo
202302555,grimstadposten,1910,
203165884,nordrebergenhusamtstidende,1910,Kinn
203302983,buskerudsamtstidendedrammen,1910,
204729457,Laagendalsposten ,1910,Kongsberg
201170457,nordkapp,1910,
200310938,dagbladet,1910,Oslo
204319074,gjoviksbladattenattifire,1910,
200642828,gjengangeren,1910,Horten
200253721,bratsbergdemokraten,1910,Skien
201505985,sandefjordsblad,1910,Sandefjord
203633258,lofotposten,1910,
203433396,tvedestrandogomegnsavis,1910,
202041035,bergensannoncetidende,1910,
200217554,bergenstidende,1910,Bergen
200455070,faedrelandsvennen,1910,Kristiansand
200667789,glommendalen,1910,Kongsvinger
200886109,kysten,1910,Oslo
202505799,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
204699324,Laagendalsposten ,1910,Kongsberg
202579961,nordlandsfolkeblad,1910,
202424321,indlandsposten,1910,
200454899,faedrelandsvennen,1910,Kristiansand
203303103,buskerudsamtstidendedrammen,1910,
203019969,askerogbaerumsbudstikke,1910,Bærum
202181442,farsundsavis,1910,Farsund
201833946,valdres,1910,Nord-Aurdal
200601624,fredriksstadtilskuer,1910,Fredrikstad
202621766,norskkundgjoerelsestidende,1910,Oslo
202786874,skandinaven,1910,
200217604,bergenstidende,1910,Bergen
200358264,dagensnytt,1910,
202500327,listerfarsundatten,1910,
201152863,nedenaesamtstidende,1910,Risør
200866269,kongsbergdagblad,1910,Kongsberg
200358173,dagensnytt,1910,
202452012,jarlsbergoglarviksamtstidende,1910,Larvik
203199024,stavangeraftenblad,1910,Stavanger
203455707,vestfoldsandefjordatten,1910,
202012897,baerumogaskersblad,1910,
203930812,buskerudsblad,1910,
201109427,mosstilskuer,1910,Moss
201035327,morgenbladet,1910,Oslo
200752900,harstadtidende,1910,Harstad
204638725,Samhold (Gjøvik: 1885-1920) ,1910,Gjøvik
203813722,buskerudsblad,1910,
201534675,selbyggen,1910,Selbu
202522338,more,1910,Volda
202944260,aftenposten,1910,Oslo
202479137,landmandsposten,1910,
201152822,nedenaesamtstidende,1910,Risør
202944212,aftenposten,1910,Oslo
201797663,trondhjemsadresseavis,1910,Trondheim
202944922,aftenposten,1910,Oslo
202505712,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
201557000,socialdemokraten,1910,Oslo
201035697,morgenbladet,1910,Oslo
201471512,romsdalsamtstidende,1910,Kristiansund
200911522,lillehammertilskuer,1910,Lillehammer
200027774,agder,1910,
203165893,nordrebergenhusamtstidende,1910,Kinn
202568285,nordfjord,1910,
202601768,nordretrondhjemsamtstidende,1910,
201170459,nordkapp,1910,
203463203,vossavis,1910,
202786846,skandinaven,1910,
200885952,kysten,1910,Oslo
203455624,vestfoldsandefjordatten,1910,
202474841,kristiansundspostenatten,1910,
203153824,nordenfjeldsktidende,1910,Levanger
200694090,gudbrandsdoelen,1910,Lillehammer
203020041,askerogbaerumsbudstikke,1910,Bærum
200311024,dagbladet,1910,Oslo
202609743,nordtroenderen,1910,
202609762,nordtroenderen,1910,
202601742,nordretrondhjemsamtstidende,1910,
200866101,kongsbergdagblad,1910,Kongsberg
201035686,morgenbladet,1910,Oslo
202621717,norskkundgjoerelsestidende,1910,Oslo
202621725,norskkundgjoerelsestidende,1910,Oslo
202187110,finmarken,1910,Vardø
202023227,bergensaftenbladbergenattenattini,1910,Bergen
202621862,norskkundgjoerelsestidende,1910,Oslo
201035514,morgenbladet,1910,Oslo
203402189,soendhordland,1910,
200044448,agderposten,1910,Arendal
201817066,tvedestrandsposten,1910,Tvedestrand
203302846,buskerudsamtstidendedrammen,1910,
203411562,soloerposten,1910,
202585481,nordlandsposten,1910,Bodø
200564470,foerstemai,1910,Stavanger
203165863,nordrebergenhusamtstidende,1910,Kinn
202556328,namdalensfolkeblad,1910,
203358773,oevresmaalenene,1910,Indre Østfold
201035735,morgenbladet,1910,Oslo
200886032,kysten,1910,Oslo
201775811,tromsoeposten,1910,Tromsø
202222997,folketidendetrondheimattennittien,1910,Trondheim
202536022,mossaftenblad,1910,
203430470,tunsbergeren,1910,
200564463,foerstemai,1910,Stavanger
202222961,folketidendetrondheimattennittien,1910,Trondheim
200694050,gudbrandsdoelen,1910,Lillehammer
202621759,norskkundgjoerelsestidende,1910,Oslo
200217559,bergenstidende,1910,Bergen
200928358,lillesandsposten,1910,Lillesand
203768023,helgeland,1910,
202609820,nordtroenderen,1910,
201557029,socialdemokraten,1910,Oslo
202023385,bergensaftenbladbergenattenattini,1910,Bergen
202239784,fredrikshaldsavis,1910,
204281945,saltensfremtid,1910,
200601644,fredriksstadtilskuer,1910,Fredrikstad
202505739,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
203455728,vestfoldsandefjordatten,1910,
200676480,grimstadadressetiden,1910,Grimstad
203642743,nordland,1910,
200911608,lillehammertilskuer,1910,Lillehammer
201992975,arbeidet,1910,Bergen
200911504,lillehammertilskuer,1910,Lillehammer
203789039,lofotposten,1910,
201600276,solungen,1910,Kongsvinger
202642192,oplandenesavis,1910,Hamar
202642173,oplandenesavis,1910,Hamar
203198950,stavangeraftenblad,1910,Stavanger
203153737,nordenfjeldsktidende,1910,Levanger
204571406,unglyden ,1910,Voss
203125139,indtrondelagen,1910,
203455593,vestfoldsandefjordatten,1910,
201194348,nordlandsposten,1910,Bodø
202495467,lindesnes,1910,Mandal
201781557,tromsoestiftstidende,1910,Tromsø
202057333,breidablik,1910,
202222895,folketidendetrondheimattennittien,1910,Trondheim
200623863,fremtiden,1910,Drammen
202505713,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
202554105,namdalensblad,1910,
204151353,fjordenestidende,1910,
200525878,finnmarksposten,1910,Nordkapp
203571727,helgeland,1910,
201556872,socialdemokraten,1910,Oslo
201556771,socialdemokraten,1910,Oslo
202222766,folketidendetrondheimattennittien,1910,Trondheim
200311039,dagbladet,1910,Oslo
204702838,Laagendalsposten ,1910,Kongsberg
202040761,bergensannoncetidende,1910,
201170460,nordkapp,1910,
201170422,nordkapp,1910,
202302465,grimstadposten,1910,
202554127,namdalensblad,1910,
202222917,folketidendetrondheimattennittien,1910,Trondheim
203455601,vestfoldsandefjordatten,1910,
202568226,nordfjord,1910,
202609811,nordtroenderen,1910,
200455110,faedrelandsvennen,1910,Kristiansand
200601541,fredriksstadtilskuer,1910,Fredrikstad
200358143,dagensnytt,1910,
200866235,kongsbergdagblad,1910,Kongsberg
204241588,gudbrandsdalensfolkebladgjoevik,1910,
203480972,oerebladet,1910,
203125264,indtrondelagen,1910,
203430399,tunsbergeren,1910,
202012881,baerumogaskersblad,1910,
203411623,soloerposten,1910,
201035472,morgenbladet,1910,Oslo
204241540,gudbrandsdalensfolkebladgjoevik,1910,
202585477,nordlandsposten,1910,Bodø
202609825,nordtroenderen,1910,
200752843,harstadtidende,1910,Harstad
200601602,fredriksstadtilskuer,1910,Fredrikstad
202579933,nordlandsfolkeblad,1910,
203020014,askerogbaerumsbudstikke,1910,Bærum
201992905,arbeidet,1910,Bergen
201505908,sandefjordsblad,1910,Sandefjord
202944748,aftenposten,1910,Oslo
202621681,norskkundgjoerelsestidende,1910,Oslo
200027866,agder,1910,
201505847,sandefjordsblad,1910,Sandefjord
201556843,socialdemokraten,1910,Oslo
201471439,romsdalsamtstidende,1910,Kristiansund
200676440,grimstadadressetiden,1910,Grimstad
203678173,aftenpostenukensnytt,1910,
201967630,akershus,1910,Lillestrøm
200601557,fredriksstadtilskuer,1910,Fredrikstad
201798071,trondhjemsadresseavis,1910,Trondheim
202642156,oplandenesavis,1910,Hamar
202410704,hordalandfolkeblad,1910,Kvam
200564510,foerstemai,1910,Stavanger
202944659,aftenposten,1910,Oslo
200311098,dagbladet,1910,Oslo
201276498,norgessjoefartstidende,1910,Oslo
201950755,agderposten,1910,Arendal
202556344,namdalensfolkeblad,1910,
202452011,jarlsbergoglarviksamtstidende,1910,Larvik
201781524,tromsoestiftstidende,1910,Tromsø
201797847,trondhjemsadresseavis,1910,Trondheim
202410692,hordalandfolkeblad,1910,Kvam
200624005,fremtiden,1910,Drammen
202609787,nordtroenderen,1910,
201035568,morgenbladet,1910,Oslo
202541202,mossavis,1910,Moss
203650711,helgeland,1910,
201600199,solungen,1910,Kongsvinger
201109409,mosstilskuer,1910,Moss
202222753,folketidendetrondheimattennittien,1910,Trondheim
202505738,listerogmandalsamtstidendeogadresseavis,1910,Lindesnes
202239782,fredrikshaldsavis,1910,
201035585,morgenbladet,1910,Oslo
200044485,agderposten,1910,Arendal
203358765,oevresmaalenene,1910,Indre Østfold
201309834,oeieren,1910,
203198897,stavangeraftenblad,1910,Stavanger
201797697,trondhjemsadresseavis,1910,Trondheim
202023501,bergensaftenbladbergenattenattini,1910,Bergen
203198788,stavangeraftenblad,1910,Stavanger
202023346,bergensaftenbladbergenattenattini,1910,Bergen
200790890,hedemarkensamtstidende,1910,Hamar
200928318,lillesandsposten,1910,Lillesand
201797790,trondhjemsadresseavis,1910,Trondheim
204715437,Laagendalsposten ,1910,Kongsberg
203411615,soloerposten,1910,
201505964,sandefjordsblad,1910,Sandefjord
201035579,morgenbladet,1910,Oslo
200911602,lillehammertilskuer,1910,Lillehammer
202554073,namdalensblad,1910,
202944518,aftenposten,1910,Oslo
201817108,tvedestrandsposten,1910,Tvedestrand
200601755,fredriksstadtilskuer,1910,Fredrikstad
202023278,bergensaftenbladbergenattenattini,1910,Bergen
200601657,fredriksstadtilskuer,1910,Fredrikstad
202944218,aftenposten,1910,Oslo
200694091,gudbrandsdoelen,1910,Lillehammer
201950697,agderposten,1910,Arendal
201992962,arbeidet,1910,Bergen
202944578,aftenposten,1910,Oslo
202041018,bergensannoncetidende,1910,
201035413,morgenbladet,1910,Oslo
201979108,akersposten,1910,Oslo
203185171,ranenstidende,1910,Hemnes
201276416,norgessjoefartstidende,1910,Oslo
201993058,arbeidet,1910,Bergen
202452117,jarlsbergoglarviksamtstidende,1910,Larvik
202541138,mossavis,1910,Moss
201556967,socialdemokraten,1910,Oslo
202059917,breviksposten,1910,Porsgrunn
204525401,Hamar Stiftstidende ,1910,Hamar
202500348,listerfarsundatten,1910,
204627808,Samhold (Gjøvik: 1885-1920) ,1910,Gjøvik
202944173,aftenposten,1910,Oslo
203165886,nordrebergenhusamtstidende,1910,Kinn
200790938,hedemarkensamtstidende,1910,Hamar
201035366,morgenbladet,1910,Oslo
203455671,vestfoldsandefjordatten,1910,
201506008,sandefjordsblad,1910,Sandefjord
200642926,gjengangeren,1910,Horten
200667814,glommendalen,1910,Kongsvinger
201797901,trondhjemsadresseavis,1910,Trondheim
202621858,norskkundgjoerelsestidende,1910,Oslo
200866126,kongsbergdagblad,1910,Kongsberg
201035464,morgenbladet,1910,Oslo
203198840,stavangeraftenblad,1910,Stavanger
201797694,trondhjemsadresseavis,1910,Trondheim
202452196,jarlsbergoglarviksamtstidende,1910,Larvik
200623963,fremtiden,1910,Drammen
201276378,norgessjoefartstidende,1910,Oslo
201035613,morgenbladet,1910,Oslo
200790809,hedemarkensamtstidende,1910,Hamar
200866297,kongsbergdagblad,1910,Kongsberg
202944465,aftenposten,1910,Oslo
202756601,romsdalstidende,1910,
202790783,soendmoerefolkeblad,1910,
